,Province_State,Country_Region,Last_Update,Latitude,Longitude,Confirmed,Deaths,Combined_Key,Incident_Rate,Case_Fatality_Ratio
0,,Afghanistan,2021-10-17 04:21:29,33.93911,67.709953,155739,7238,Afghanistan,400.0658543347634,4.64751924694521
1,,Albania,2021-10-17 04:21:29,41.1533,20.1683,177536,2810,Albania,6169.1569949266795,1.5827775775054074
2,,Algeria,2021-10-17 04:21:29,28.0339,1.6596,205199,5870,Algeria,467.94554008669763,2.8606377224060546
3,,Andorra,2021-10-17 04:21:29,42.5063,1.5218,15338,130,Andorra,19851.161586746908,0.8475681314382579
4,,Angola,2021-10-17 04:21:29,-11.2027,17.8739,62789,1662,Angola,191.04389947772592,2.6469604548567425
5,,Antigua and Barbuda,2021-10-17 04:21:29,17.0608,-61.7964,3888,95,Antigua and Barbuda,3970.2638673311,2.4434156378600824
6,,Argentina,2021-10-17 04:21:29,-38.4161,-63.6167,5272151,115663,Argentina,11665.140749765184,2.193848393189042
7,,Armenia,2021-10-17 04:21:29,40.0691,45.0382,280294,5754,Armenia,9459.057232739637,2.0528445132610758
8,Australian Capital Territory,Australia,2021-10-17 04:21:29,-35.4735,149.0124,1571,11,"Australian Capital Territory, Australia",366.97033403410416,0.7001909611712285
9,New South Wales,Australia,2021-10-17 04:21:29,-33.8688,151.2093,71399,524,"New South Wales, Australia",879.5146587829512,0.7339038361881819
10,Northern Territory,Australia,2021-10-17 04:21:29,-12.4634,130.8456,225,0,"Northern Territory, Australia",91.61237785016287,0.0
11,Queensland,Australia,2021-10-17 04:21:29,-27.4698,153.0251,2071,7,"Queensland, Australia",40.48480109471215,0.3380009657170449
12,South Australia,Australia,2021-10-17 04:21:29,-34.9285,138.6007,915,4,"South Australia, Australia",52.09222886421862,0.4371584699453552
13,Tasmania,Australia,2021-10-17 04:21:29,-42.8821,147.3272,237,13,"Tasmania, Australia",44.25770308123249,5.485232067510548
14,Victoria,Australia,2021-10-17 04:21:29,-37.8136,144.9631,65674,964,"Victoria, Australia",989.5322704716513,1.4678563815208454
15,Western Australia,Australia,2021-10-17 04:21:29,-31.9505,115.8605,1112,9,"Western Australia, Australia",42.2717250817304,0.8093525179856115
16,,Austria,2021-10-17 04:21:29,47.5162,14.5501,773540,11161,Austria,8588.781311067685,1.442847170152804
17,,Azerbaijan,2021-10-17 04:21:29,40.1431,47.5769,498630,6734,Azerbaijan,4917.855742700959,1.3505003710165855
18,,Bahamas,2021-10-17 04:21:29,25.025885,-78.035889,21580,590,Bahamas,5487.631214907641,2.7340129749768303
19,,Bahrain,2021-10-17 04:21:29,26.0275,50.55,276030,1391,Bahrain,16221.953322288717,0.5039307321667935
20,,Bangladesh,2021-10-17 04:21:29,23.685,90.3563,1565174,27752,Bangladesh,950.3794182045116,1.773093598539204
21,,Barbados,2021-10-17 04:21:29,13.1939,-59.5432,12773,114,Barbados,4444.776960792843,0.8925076332889689
22,,Belarus,2021-10-17 04:21:29,53.7098,27.9534,570006,4386,Belarus,6032.242951636418,0.769465584572794
23,Antwerp,Belgium,2021-10-17 04:21:29,51.2195,4.4024,168222,0,"Antwerp, Belgium",9053.997177589066,0.0
24,Brussels,Belgium,2021-10-17 04:21:29,50.8503,4.3517,173552,0,"Brussels, Belgium",14360.444237767493,0.0
25,East Flanders,Belgium,2021-10-17 04:21:29,51.0362,3.7373,143363,0,"East Flanders, Belgium",9462.504554263054,0.0
26,Flemish Brabant,Belgium,2021-10-17 04:21:29,50.9167,4.5833,103133,0,"Flemish Brabant, Belgium",8998.015137304514,0.0
27,Hainaut,Belgium,2021-10-17 04:21:29,50.5257,4.0621,176918,0,"Hainaut, Belgium",13161.181663109517,0.0
28,Liege,Belgium,2021-10-17 04:21:29,50.4496,5.8492,155428,0,"Liege, Belgium",14040.5712055733,0.0
29,Limburg,Belgium,2021-10-17 04:21:29,50.9739,5.3420000000000005,70998,0,"Limburg, Belgium",8122.894852456616,0.0
30,Luxembourg,Belgium,2021-10-17 04:21:29,50.0547,5.4677,35668,0,"Luxembourg, Belgium",12531.00429317238,0.0
31,Namur,Belgium,2021-10-17 04:21:29,50.331,4.8221,65719,0,"Namur, Belgium",13294.694785819047,0.0
32,Unknown,Belgium,2021-10-17 04:21:29,,,25210,25747,"Unknown, Belgium",,102.130107100357
33,Walloon Brabant,Belgium,2021-10-17 04:21:29,50.4,4.35,50031,0,"Walloon Brabant, Belgium",12396.215055042258,0.0
34,West Flanders,Belgium,2021-10-17 04:21:29,51.0536,3.1458,111627,0,"West Flanders, Belgium",9334.95345359911,0.0
35,,Belize,2021-10-17 04:21:29,17.1899,-88.4976,23990,461,Belize,6033.383548655629,1.9216340141725718
36,,Benin,2021-10-17 04:21:29,9.3077,2.3158,24560,161,Benin,202.5868091901164,0.6555374592833876
37,,Bhutan,2021-10-17 04:21:29,27.5142,90.4336,2617,3,Bhutan,339.1600960068013,0.1146350783339702
38,,Bolivia,2021-10-17 04:21:29,-16.2902,-63.5887,506150,18824,Bolivia,4336.063929936266,3.719055615924133
39,,Bosnia and Herzegovina,2021-10-17 04:21:29,43.9159,17.6791,243914,11110,Bosnia and Herzegovina,7434.555133404352,4.554884098493732
40,,Botswana,2021-10-17 04:21:29,-22.3285,24.6849,181856,2386,Botswana,7733.205761973104,1.3120270983635405
41,Acre,Brazil,2021-10-17 04:21:29,-9.0238,-70.812,88005,1842,"Acre, Brazil",9978.626542772428,2.0930628941537415
42,Alagoas,Brazil,2021-10-17 04:21:29,-9.5713,-36.782,239215,6256,"Alagoas, Brazil",7167.797751334364,2.6152206174361976
43,Amapa,Brazil,2021-10-17 04:21:29,0.902,-52.003,123256,1988,"Amapa, Brazil",14573.901157696717,1.6129032258064515
44,Amazonas,Brazil,2021-10-17 04:21:29,-3.4168,-65.8561,427147,13756,"Amazonas, Brazil",10306.116613991662,3.2204369924171306
45,Bahia,Brazil,2021-10-17 04:21:29,-12.5797,-41.7007,1239650,26967,"Bahia, Brazil",8334.866305960897,2.1753720808292663
46,Ceara,Brazil,2021-10-17 04:21:29,-5.4984,-39.3206,942018,24378,"Ceara, Brazil",10315.483507696716,2.5878486398349074
47,Distrito Federal,Brazil,2021-10-17 04:21:29,-15.7998,-47.8645,510159,10692,"Distrito Federal, Brazil",16919.192589182785,2.095817186406591
48,Espirito Santo,Brazil,2021-10-17 04:21:29,-19.1834,-40.3089,598015,12745,"Espirito Santo, Brazil",14880.992373060602,2.1312174443784855
49,Goias,Brazil,2021-10-17 04:21:29,-15.827,-49.8362,885630,23941,"Goias, Brazil",12618.770726013536,2.703273376014814
